Nom,Longitude,Latitude
"Polyclinique de Limoges,1.226176,45.815220
Hôpital Inconnu,-0.706615,49.286209
Centre Martel de Janville,6.406534,46.081760
Clinique Nouvelle du Forez,4.047452,45.606853
La Chênaie,1.131627,45.848354
Clinique Sainte-Elizabeth,6.198634,49.349678
Maison de santé de Port La Nouvelle,3.042299,43.006699
Centre Rééducation Moteur Cérébral,4.328592,48.952625
Hôpital européen,5.372243,43.310066
Hôtel Dieu,1.480907,48.440933
Polyclinique Grande-Synthe,2.290092,51.007515
Hôpital de Jour Halloran,-0.641052,44.812424
Hôpital Rothschild,2.399449,48.843407
Hôpital de jour Françoise Dolto,2.997970,49.582550
Centre hospitalier d'Is-sur-Tille,5.104701,47.518959
Centre Hospitalier Stell,2.187274,48.876091
CMPEA Dinan,-2.052031,48.455811
Hôpital Dieudonné Collomp,5.631023,44.042435
Clinique de l'Oseraie,2.074687,49.075554
Clinique Tivoli,-0.587976,44.857334
Centre hospitalier de Pont-à-Mousson,6.052432,48.906384
Centre hospitalier du Chinonais,0.293894,47.187660
Hôpital Inconnu,-1.361216,48.409199
CMPEA Saint-Brieuc Maria Estrella,-2.744755,48.495983
défibrilateur,2.169676,48.914555
Centre hospitalier d'Argenteuil,2.237010,48.944508
Hôpital Jacques Monod,0.184589,49.526863
Hôpital Saint-Jacques,7.095533,47.813332
Hôpital Psychiatrique,2.411724,44.925793
Institut Européen de Chirurgie Esthétique et Plastique,2.231709,48.844921
Centre hospitalier de Montier-en-Der,4.774793,48.476322
Clinique du Cèdre,1.112571,49.464115
Clinique de la Châtaigneraie,3.073967,45.752388
Hôpital Henri Ey,2.364972,48.818565
Hôpital Inconnu,1.733327,43.411873
Clinique de l'Escrebieux,3.001137,50.374821
Hôpital privé Bois-Bernard,2.909227,50.376305
Centre d'Accueil Thérapeutique à Temps Partiel Infanto-juvénile,6.634447,45.940727
Centre hospitalier de Guéret,1.869497,46.164074
Clinique Émilie de Vialar,4.871695,45.756733
Hôpital de jour de Maltot,-0.421737,49.129147
Hôpital Sainte-Musse,5.976242,43.124027
Hôpital Saint-Joseph,7.422064,49.045967
Polyclinique de l'Ormeau,0.077521,43.225132
Centre Hospitalier de l'Arrondissement de Montreuil-sur-Mer,1.662427,50.414482
Fondation Lenval - Hôpital pour Enfants,7.241659,43.689423
Clinique Notre-Dame de Bon Voyage,5.612048,43.180466
Centre Hospitalier Avranches - Granville,-1.351869,48.693199
Clinique Terre de France,4.033176,49.214737
Clinique de Domont,2.343995,49.033573
Centre Hospitalier Georges Heuyer,4.955814,48.633522
Hôpital Sainte-Marie,4.594090,44.732349
Hôpital Le Jeune,-4.619703,48.429409
Hôpital de jour Le Magniola,-0.446030,44.997604
COS CRPF,2.806415,48.259594
Chabaleyret,3.861009,44.571632
Centre de Réadaptation Cardio-Respiratoire de la Loire,4.365569,45.477245
Centre hospitalier du Pays d'Apt,5.383171,43.875813
Hôpital Suburbain du Bouscat,-0.618858,44.867798
Clinique Lyon Champvert,4.804440,45.758957
Hôpital de Loos,3.007832,50.610527
Centre hospitalier de Sedan,4.938171,49.705128
Hôpital de la Tauvrais,-1.660553,48.137821
Polyclinique Bordeaux Rive-Droite,-0.522000,44.864491
L'Arc en Ciel,0.857621,47.272621
Hôpital Garonne,1.400907,43.616444
Hôpital Tarnier,2.335929,48.841633
Centre hospitalier de Brignoles,6.066483,43.403595
Clinique Saint-Faron,2.873066,48.940929
Clinique du Pays de Montbéliard,6.820234,47.496662
Clinique de Miremont,2.513582,43.214893
La Chimotaie,-1.231799,47.062462
Clinique Pasteur,0.490003,44.851765
Hôpital de jour pour adolescents L'Olivier,-2.753747,48.500645
Hôpital de jour pour enfants,5.720397,45.186584
Unité de diététique Somedi,6.933990,43.574665
Clinique Philae,-1.696604,48.004208
Centre hospitalier de Maubeuge,3.989188,50.280029
Pôle d'Hospitalisation Psychiatrique,0.502335,44.853294
Centre hospitalier de Joigny,3.395999,47.979538
Centre hospitalier Aiguilles-Queyras,6.867650,44.780560
Hôpital de Lavelanet - Site du Pays d'Olmes,1.835106,42.919544
5 place Aristide-Briand 10400 Nogent-sur-Seine,3.502460,48.493439
Hôpital Le Parc de Taverny,2.235415,49.027168
Hôpital Privé Cannes Oxford,7.028254,43.565456
Le Beach - Clinique-polyclinique,2.520486,48.791351
Hôpital de jour Gasquy,5.422435,43.303875
CHU Amiens Picardie - Centre Saint-Victor,2.318336,49.904488
Maison de santé de l'Epte,1.668966,49.208820
Hôpital local de Montmirail,3.546256,48.878468
Hôpital Sainte-Marguerite,5.410488,43.260365
CHRU de Nancy Brabois,6.149796,48.646740
Hôpital Local du Pays de Gex,6.058250,46.321991
Clinique,6.539799,43.595238
Centre de rééducation fonctionnelle Notre-Dame,3.071935,45.777802
Hôpital de Chevilly-Larue,2.335297,48.771214
Equipe Mobile Psycho-sociale du Chablais,6.474240,46.359158
Clinique Saint-Dominique,-0.562488,48.746437
Centre médico-psychologique de Perpignan,2.898149,42.698135
Centre Hospitalier Intercommunal Castelsarrasin-Moissac,1.088241,44.105167
Hôpital Gériatrique intercommunal Neuville-Fontaines,4.847980,45.867451
Centre hospitalier de La Souterraine,1.481325,46.236244
Hôpital du Haut Limousin,1.062111,46.124187
Poste secours Lecques,5.684690,43.179939
Hôpital local de Castellane,6.508070,43.846661
Hôpital de jour de Caychac,-0.635029,44.932350
Clinique IRIS,4.925620,45.716038
Hôpital de Saint-Avold,6.722716,49.111446
Clinique Malartic,5.874866,43.131229
Polyclinique de Villeneuve Saint-Georges,2.450776,48.721809
Centre de réadaptation fonctionnelle Richelieu,-1.175393,46.153385
Hôpital Inconnu,3.172920,50.677849
Centre hospitalier Max Querrien,-3.034180,48.773205
Centre hospitalier de Château-Renault,0.919429,47.587650
Clinique de Blagnac,1.363469,43.660835
Hôpital Privé La Montagne Lambert,2.241922,48.907902
Centre hospitalier de Pézenas,3.419155,43.460453
Hopital de Jour Adulte,1.323769,47.580360
Le Lanot,-1.077929,43.689854
Hôpital Les Cygnes,3.814928,47.291317
Hôpital de Nontron,0.666033,45.528000
Centre hospitalier intercommunal André Grégoire,2.453178,48.877678
Hôpital de psychiatrie,1.403214,43.607292
Centre hospitalier de Montfort,-1.951913,48.137695
Clinique Saint-Joseph,0.146676,45.649525
Hôpital de jour Addictologie,5.753514,45.184994
Centre de Soins SMR La Lande,0.573464,45.171150
Hôpital spécialisé Val Horizon,1.553800,45.151691
Polyclinique Saint-George,7.277950,43.733170
Centre hospitalier des Vallées de l’Ariège - Site de Foix,1.619883,43.025780
Hôpital Lapeyronie,3.851516,43.629826
Hôpital de jour Acanthe,5.468053,43.456738
Centre Hospitalier Sud Gironde,-0.037791,44.586330
Maison d'Accueil Spécialisée de Kerblay,-2.740288,47.528454
Centre hospitalier Ardèche Méridionale,4.397155,44.612957
Hôpital Inconnu,6.848007,47.631573
Hôpital de Jour de Psychatrie Infanto-Juvénile,6.531949,43.244576
Maison de soins,-3.003449,47.845833
Centre Hospitalier de Nouzonville,4.747251,49.815487
Centre hospitalier Métropole Savoie (site d'Aix-les-Bains),5.904925,45.697189
Centre hospitalier du Blanc,1.059698,46.634090
Centre médico-chirurgical Floréal,2.431063,48.878284
Hôpital Inconnu,0.134105,44.411789
Centre Hospitalier de Lens,2.818054,50.439129
Centre hospitalier Barthélémy Durand,2.312947,48.655731
Centre de Réadaptation,-2.488785,47.524055
Clinique Synergia Ventoux,5.028171,44.047077
Clinique Toulouse Lautrec,2.179970,43.929283
Hôpital Inconnu,6.297039,43.377499
Groupe hospitalier Carnelle Porte de l'Oise - Site Les Oliviers,2.310709,49.144047
Centre Hospitalier de Saint-Hilaire-du-Harcouet,-1.096223,48.568810
ICR - Institut de Chirurgie Réparatrice,7.262257,43.701942
Clinique de l'Archette,1.908665,47.858231
Centre Hospitalier Docteur Louis Lacaine,-0.633115,49.018192
Hôpital Privé des Côtes d'Armor,-2.788228,48.548122
Centre hospitalier de Faye L'Abbesse,-0.386184,46.831623
Soins de Suite et de Réadaptation Les Claveries,-0.504119,47.487476
Hôpital Léon Bérard,6.017385,46.532547
UTMA,2.468508,45.652237
Centre hospitalier d'Ajaccio,8.770073,41.944820
Centre hospitalier Princesse Grace (CHPG),7.411060,43.730320
Hopital Saint-Honoré,-1.366376,46.200710
ESEAN,-1.524469,47.185715
Centre de Long Séjour Bellevaux,6.022431,47.242474
Clinique de l'Ospedale,9.276834,41.598763
Laborieux Hervé ostéopathe DO,-1.772977,46.537380
L'Hôpital Privé de l'Aube,4.053109,48.306702
USLD Bellevaux,6.022308,47.242428
Hôpital Privé La Louvière,3.083996,50.646645
Centre hospitalier d'Autun - Site Parpas,4.293262,46.951271
Hôpital Inconnu,5.059082,47.342850
Centre hospitalier Jacques Cœur,2.438556,47.084831
Clinique Marcel Sembat,2.244844,48.835194
Centre Guy Talpaert,3.172311,50.677673
58-JDV-Entrée UPD,-1.205061,48.125568
Centre Winnicott,4.832159,46.764141
Hôpital Bellier,-1.523183,47.222393
Centre Hospitalier l'Atrium,2.465585,45.655045
Polyclinique de Reims Bezannes,4.002077,49.218262
Centre hospitalier de Royan,-1.060809,45.634094
Centre hospitalier de Saint-Amand-Montrond,2.495987,46.725887
Hôpital de Prades,2.417905,42.626305
Groupe hospitalier Les Portes du Sud,4.866838,45.688229
Les Petits Cygnes,3.417529,50.124500
"Clinique Parly 2,2.117919,48.829292
Fondation Hospitalière Sainte-Marie,2.313616,48.829090
Hôpital Nord Guillaume et René Laennec,-1.639188,47.236771
Clinique du Val d'Or,2.204846,48.842834
Clinique Brocéliande,-0.408046,49.181992
Clinique Provence-Bourbonne,5.596151,43.282368
Hôpital de jour Les Bourdettes,1.468763,43.552723
Hôpital Salengro,3.032687,50.607475
Clinique Saint-Hilaire,1.114113,49.441376
Polyclinique Inkermann,-0.452703,46.315006
